ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
0425144429,Mr. Murder,Dean R. Koontz,1996,Berkley Publishing Group,http://images.amazon.com/images/P/0425144429.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425144429.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425144429.01.LZZZZZZZ.jpg
0312305060,The Hours: A Novel,Michael Cunningham,2002,Picador,http://images.amazon.com/images/P/0312305060.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312305060.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312305060.01.LZZZZZZZ.jpg
0060175966,The Professor and the Madman,Simon Winchester,1998,HarperCollins Publishers,http://images.amazon.com/images/P/0060175966.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060175966.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060175966.01.LZZZZZZZ.jpg
0399146431,The Bonesetter's Daughter,Amy Tan,2001,Putnam Publishing Group,http://images.amazon.com/images/P/0399146431.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399146431.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399146431.01.LZZZZZZZ.jpg
0385482388,The Mistress of Spices,Chitra Banerjee Divakaruni,1998,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385482388.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385482388.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385482388.01.LZZZZZZZ.jpg
0399141146,The Hundred Secret Senses,Amy Tan,1995,Putnam Pub Group,http://images.amazon.com/images/P/0399141146.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399141146.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399141146.01.LZZZZZZZ.jpg
0375706771,Midwives: A Novel,Chris Bohjalian,1998,Vintage,http://images.amazon.com/images/P/0375706771.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375706771.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375706771.01.LZZZZZZZ.jpg
0452260116,Song of Solomon (Oprah's Book Club (Paperback)),Toni Morrison,1987,Plume Books,http://images.amazon.com/images/P/0452260116.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452260116.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452260116.01.LZZZZZZZ.jpg
0812517725,"The Great Hunt (The Wheel of Time, Book 2)",Robert Jordan,1991,Tor Fantasy,http://images.amazon.com/images/P/0812517725.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812517725.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812517725.01.LZZZZZZZ.jpg
0451191145,Atlas Shrugged,Ayn Rand,1996,Signet Book,http://images.amazon.com/images/P/0451191145.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451191145.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451191145.01.LZZZZZZZ.jpg
0060987561,I Know This Much Is True,Wally Lamb,1999,Regan Books,http://images.amazon.com/images/P/0060987561.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060987561.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060987561.01.LZZZZZZZ.jpg
0312265867,To the Nines: A Stephanie Plum Novel,Janet Evanovich,2003,St. Martin's Press,http://images.amazon.com/images/P/0312265867.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312265867.01.LZZZZZZZ.jpg
0312150601,Behind the Scenes at the Museum : A Novel,Kate Atkinson,1999,Picador,http://images.amazon.com/images/P/0312150601.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312150601.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312150601.01.LZZZZZZZ.jpg
0446603309,The Witness,Sandra Brown,1996,Warner Books,http://images.amazon.com/images/P/0446603309.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446603309.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446603309.01.LZZZZZZZ.jpg
0786881852,Don't Sweat the Small Stuff and It's All Small Stuff : Simple Ways to Keep the Little Things from Taking Over Your Life (Don't Sweat the Small Stuff Series),Richard Carlson,1997,Hyperion,http://images.amazon.com/images/P/0786881852.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0786881852.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0786881852.01.LZZZZZZZ.jpg
0345413873,Monster : A Novel (Alex Delaware Novels (Paperback)),JONATHAN KELLERMAN,2000,Ballantine Books,http://images.amazon.com/images/P/0345413873.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345413873.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345413873.01.LZZZZZZZ.jpg
1559029838,Call of the Wild,Jack London,0,Selldowns/no More Orders,http://images.amazon.com/images/P/1559029838.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1559029838.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1559029838.01.LZZZZZZZ.jpg
0679746048,"Girl, Interrupted",SUSANNA KAYSEN,1994,Vintage,http://images.amazon.com/images/P/0679746048.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679746048.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679746048.01.LZZZZZZZ.jpg
0446610100,Wish You Well,David Baldacci,2001,Warner Books,http://images.amazon.com/images/P/0446610100.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446610100.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446610100.01.LZZZZZZZ.jpg
0312966970,Four To Score (A Stephanie Plum Novel),Janet Evanovich,1999,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312966970.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312966970.01.LZZZZZZZ.jpg
051512317X,Rising Tides,Nora Roberts,2001,Jove Books,http://images.amazon.com/images/P/051512317X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/051512317X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/051512317X.01.LZZZZZZZ.jpg
0515114693,Born in Fire,Nora Roberts,1994,Jove Books,http://images.amazon.com/images/P/0515114693.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515114693.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515114693.01.LZZZZZZZ.jpg
0380002930,Watership Down,Richard Adams,1976,Avon,http://images.amazon.com/images/P/0380002930.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380002930.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380002930.01.LZZZZZZZ.jpg
0553562967,Bellwether,Connie Willis,1997,Bantam Books,http://images.amazon.com/images/P/0553562967.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553562967.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553562967.01.LZZZZZZZ.jpg
0312971346,High Five (A Stephanie Plum Novel),Janet Evanovich,2000,St. Martin's Paperbacks,http://images.amazon.com/images/P/0312971346.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312971346.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312971346.01.LZZZZZZZ.jpg
0140280553,"Galileo's Daughter: A Historical Memoir of Science, Faith, and Love",Dava Sobel,2000,Penguin Books,http://images.amazon.com/images/P/0140280553.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140280553.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140280553.01.LZZZZZZZ.jpg
0060958022,Five Quarters of the Orange,Joanne Harris,2002,Perennial,http://images.amazon.com/images/P/0060958022.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060958022.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060958022.01.LZZZZZZZ.jpg
0385474016,"Like Water for Chocolate: A Novel in Monthly Installments With Recipes, Romances and Home Remedies",Laura Esquivel,1994,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385474016.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385474016.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385474016.01.LZZZZZZZ.jpg
0375412824,The Dive From Clausen's Pier (Alex Awards),ANN PACKER,2002,Knopf,http://images.amazon.com/images/P/0375412824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375412824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375412824.01.LZZZZZZZ.jpg
1558743669,"A Child Called \It\"": One Child's Courage to Survive""",Dave Pelzer,1995,Health Communications,http://images.amazon.com/images/P/1558743669.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558743669.01.LZZZZZZZ.jpg
0767907817,Bookends : A Novel,Jane Green,2003,Broadway,http://images.amazon.com/images/P/0767907817.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0767907817.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0767907817.01.LZZZZZZZ.jpg
0385720106,A Map of the World,Jane Hamilton,1999,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385720106.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385720106.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385720106.01.LZZZZZZZ.jpg
0553208845,Siddhartha,Hermann Hesse,1981,Bantam Classics,http://images.amazon.com/images/P/0553208845.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553208845.01.LZZZZZZZ.jpg
0842329218,Tribulation Force: The Continuing Drama of Those Left Behind (Left Behind No. 2),Tim LaHaye,1997,Tyndale House Publishers,http://images.amazon.com/images/P/0842329218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0842329218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0842329218.01.LZZZZZZZ.jpg
0440221471,The Runaway Jury,JOHN GRISHAM,1997,Dell,http://images.amazon.com/images/P/0440221471.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440221471.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440221471.01.LZZZZZZZ.jpg
0399148019,The Absence of Nectar,Kathy Hepinstall,2001,G. P. Putnam's Sons,http://images.amazon.com/images/P/0399148019.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399148019.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399148019.01.LZZZZZZZ.jpg
0060502258,The Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,2002,HarperTorch,http://images.amazon.com/images/P/0060502258.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060502258.01.LZZZZZZZ.jpg
0440204887,Illusions: The Adventures of a Reluctant Messiah,Richard Bach,1994,Dell Publishing Company,http://images.amazon.com/images/P/0440204887.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440204887.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440204887.01.LZZZZZZZ.jpg
0345339681,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,1986,Del Rey,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345339681.01.LZZZZZZZ.jpg
0385199570,The Stand (The Complete and Uncut Edition),Stephen King,1990,Doubleday Books,http://images.amazon.com/images/P/0385199570.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385199570.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385199570.01.LZZZZZZZ.jpg
044048474X,Tales of a Fourth Grade Nothing,JUDY BLUME,1976,Yearling,http://images.amazon.com/images/P/044048474X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044048474X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044048474X.01.LZZZZZZZ.jpg
0689817215,The View from Saturday (Jean Karl Books (Paperback)),E. L. Konigsburg,1998,Aladdin,http://images.amazon.com/images/P/0689817215.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0689817215.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0689817215.01.LZZZZZZZ.jpg
0553294385,"I, Robot",ISAAC ASIMOV,1991,Spectra,http://images.amazon.com/images/P/0553294385.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553294385.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553294385.01.LZZZZZZZ.jpg
055357230X,The Clinic (Alex Delaware Novels (Paperback)),Jonathan Kellerman,1999,Bantam Books,http://images.amazon.com/images/P/055357230X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/055357230X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/055357230X.01.LZZZZZZZ.jpg
0399142282,Hornet's Nest,Patricia Daniels Cornwell,1997,Putnam Publishing Group,http://images.amazon.com/images/P/0399142282.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0399142282.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0399142282.01.LZZZZZZZ.jpg
0812513711,"The Dragon Reborn (The Wheel of Time, Book 3)",Robert Jordan,1992,Tor Fantasy,http://images.amazon.com/images/P/0812513711.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812513711.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812513711.01.LZZZZZZZ.jpg
0671004107,Contact,Carl Sagan,1997,Pocket,http://images.amazon.com/images/P/0671004107.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671004107.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671004107.01.LZZZZZZZ.jpg
0439064872,Harry Potter and the Chamber of Secrets (Book 2),J. K. Rowling,2000,Scholastic,http://images.amazon.com/images/P/0439064872.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439064872.01.LZZZZZZZ.jpg
0679751602,Mama Makes Up Her Mind: And Other Dangers of Southern Living,Bailey White,1994,Vintage Books USA,http://images.amazon.com/images/P/0679751602.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679751602.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679751602.01.LZZZZZZZ.jpg
0553211404,Jane Eyre (Bantam Classics),Charlotte Bronte,1983,Bantam,http://images.amazon.com/images/P/0553211404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553211404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553211404.01.LZZZZZZZ.jpg
0515102652,The Cat Who Talked to Ghosts,Lilian Jackson Braun,1996,Jove Books,http://images.amazon.com/images/P/0515102652.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0515102652.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0515102652.01.LZZZZZZZ.jpg
0374100128,The Corrections (Oprah Edition),Jonathan Franzen,2001,Farrar Straus Giroux,http://images.amazon.com/images/P/0374100128.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0374100128.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0374100128.01.LZZZZZZZ.jpg
0061097314,The Bean Trees,Barbara Kingsolver,1998,HarperTorch,http://images.amazon.com/images/P/0061097314.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061097314.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061097314.01.LZZZZZZZ.jpg
0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994,Penguin Books,http://images.amazon.com/images/P/0140119906.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140119906.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140119906.01.LZZZZZZZ.jpg
0345404475,Do Androids Dream of Electric Sheep?,Philip K. Dick,1996,Del Rey Books,http://images.amazon.com/images/P/0345404475.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345404475.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345404475.01.LZZZZZZZ.jpg
0684857820,Lucky,Alice Sebold,1999,Scribner,http://images.amazon.com/images/P/0684857820.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684857820.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684857820.01.LZZZZZZZ.jpg
0553579606,Ashes to Ashes,TAMI HOAG,2000,Bantam,http://images.amazon.com/images/P/0553579606.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553579606.01.LZZZZZZZ.jpg
006099486X,"The Professor and the Madman: A Tale of Murder, Insanity, and the Making of The Oxford English Dictionary",Simon Winchester,1999,Perennial,http://images.amazon.com/images/P/006099486X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/006099486X.01.LZZZZZZZ.jpg
0670855030,Insomnia,Stephen King,1994,Viking Books,http://images.amazon.com/images/P/0670855030.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0670855030.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0670855030.01.LZZZZZZZ.jpg
0671769200,If You Really Loved Me,Ann Rule,1992,Pocket,http://images.amazon.com/images/P/0671769200.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671769200.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671769200.01.LZZZZZZZ.jpg
0671250671,"ROAD LESS TRAVELED : A New Psychology of Love, Traditional Values, and Spritual Growth (Touchstone Books (Paperback))",M. Scott Peck,1980,Touchstone,http://images.amazon.com/images/P/0671250671.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671250671.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671250671.01.LZZZZZZZ.jpg
0425118703,Midnight,Dean R. Koontz,1995,Berkley Publishing Group,http://images.amazon.com/images/P/0425118703.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425118703.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425118703.01.LZZZZZZZ.jpg
0811802981,The Golden Mean: In Which the Extraordinary Correspondence of Griffin &amp; Sabine Concludes,Nick Bantock,1993,Chronicle Books,http://images.amazon.com/images/P/0811802981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0811802981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0811802981.01.LZZZZZZZ.jpg
0375401598,Pandora : New Tales of the Vampires,ANNE RICE,1998,Knopf,http://images.amazon.com/images/P/0375401598.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375401598.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375401598.01.LZZZZZZZ.jpg
0061000043,A Thief of Time (Joe Leaphorn/Jim Chee Novels),Tony Hillerman,1990,HarperTorch,http://images.amazon.com/images/P/0061000043.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0061000043.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0061000043.01.LZZZZZZZ.jpg
0553289411,The Plains of Passage (Earth's Children (Paperback)),JEAN M. AUEL,1991,Bantam,http://images.amazon.com/images/P/0553289411.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553289411.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553289411.01.LZZZZZZZ.jpg
044661193X,Basket Case,Carl Hiaasen,2003,Warner Books,http://images.amazon.com/images/P/044661193X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/044661193X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/044661193X.01.LZZZZZZZ.jpg
0446359866,Presumed Innocent,Scott Turow,1989,Warner Books,http://images.amazon.com/images/P/0446359866.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446359866.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446359866.01.LZZZZZZZ.jpg
0446602612,The Poet,Michael Connelly,1997,Warner Books,http://images.amazon.com/images/P/0446602612.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446602612.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446602612.01.LZZZZZZZ.jpg
0446612790,2nd Chance,James Patterson,2003,Warner Vision,http://images.amazon.com/images/P/0446612790.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446612790.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446612790.01.LZZZZZZZ.jpg
0446606383,The Midnight Club,James Patterson,1999,Warner Vision,http://images.amazon.com/images/P/0446606383.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446606383.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446606383.01.LZZZZZZZ.jpg
0553213148,Anne of Avonlea (Anne of Green Gables Novels (Paperback)),L.M. MONTGOMERY,1984,Bantam Classics,http://images.amazon.com/images/P/0553213148.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553213148.01.LZZZZZZZ.jpg
0380725584,The Indian in the Cupboard (rack) (Indian in the Cupboard),Lynne Reid Banks,1995,HarperTrophy,http://images.amazon.com/images/P/0380725584.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0380725584.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0380725584.01.LZZZZZZZ.jpg
002542730X,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times,James Finn Garner,1994,John Wiley &amp; Sons Inc,http://images.amazon.com/images/P/002542730X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/002542730X.01.LZZZZZZZ.jpg
0553272535,Night,Elie Wiesel,1982,Bantam Books,http://images.amazon.com/images/P/0553272535.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553272535.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553272535.01.LZZZZZZZ.jpg
0425181464,Seduction in Death,J. D. Robb,2001,Berkley Publishing Group,http://images.amazon.com/images/P/0425181464.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0425181464.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0425181464.01.LZZZZZZZ.jpg
039480001X,The Cat in the Hat,Dr. Seuss,1957,Random House Books for Young Readers,http://images.amazon.com/images/P/039480001X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/039480001X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/039480001X.01.LZZZZZZZ.jpg
068484477X,STONES FROM THE RIVER,Ursula Hegi,1997,Touchstone,http://images.amazon.com/images/P/068484477X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/068484477X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/068484477X.01.LZZZZZZZ.jpg
0684853515,Hearts In Atlantis : New Fiction,Stephen King,1999,Scribner,http://images.amazon.com/images/P/0684853515.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684853515.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684853515.01.LZZZZZZZ.jpg
0375504397,Black House,Stephen King,2001,Random House Trade,http://images.amazon.com/images/P/0375504397.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375504397.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375504397.01.LZZZZZZZ.jpg
0316779237,Holidays on Ice : Stories,David Sedaris,1998,Back Bay Books,http://images.amazon.com/images/P/0316779237.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316779237.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316779237.01.LZZZZZZZ.jpg
0553250531,The Valley of Horses,JEAN M. AUEL,1984,Bantam,http://images.amazon.com/images/P/0553250531.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553250531.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553250531.01.LZZZZZZZ.jpg
0440213525,The Client,John Grisham,1994,Dell Publishing Company,http://images.amazon.com/images/P/0440213525.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440213525.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440213525.01.LZZZZZZZ.jpg
0451188462,Desperation,Stephen King,1997,Signet Book,http://images.amazon.com/images/P/0451188462.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0451188462.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0451188462.01.LZZZZZZZ.jpg
0439136350,Harry Potter and the Prisoner of Azkaban (Book 3),J. K. Rowling,1999,Scholastic,http://images.amazon.com/images/P/0439136350.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0439136350.01.LZZZZZZZ.jpg
0440111811,Changes,Danielle Steel,1984,Dell,http://images.amazon.com/images/P/0440111811.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440111811.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440111811.01.LZZZZZZZ.jpg
0064400557,Charlotte's Web (Trophy Newbery),E. B. White,1974,HarperTrophy,http://images.amazon.com/images/P/0064400557.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064400557.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064400557.01.LZZZZZZZ.jpg
0671867172,The Lottery Winner : Alvirah And Willy Stories,Mary Higgins Clark,1995,Pocket,http://images.amazon.com/images/P/0671867172.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671867172.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671867172.01.LZZZZZZZ.jpg
0449006530,Midnight Voices,JOHN SAUL,2003,Ballantine Books,http://images.amazon.com/images/P/0449006530.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0449006530.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0449006530.01.LZZZZZZZ.jpg
0446527785,A Bend in the Road,Nicholas Sparks,2001,Warner Books,http://images.amazon.com/images/P/0446527785.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0446527785.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0446527785.01.LZZZZZZZ.jpg
0836218353,Yukon Ho!,Bill Watterson,1989,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218353.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218353.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218353.01.LZZZZZZZ.jpg
0836204387,The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,1995,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836204387.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836204387.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836204387.01.LZZZZZZZ.jpg
0064407055,Ella Enchanted (Trophy Newbery),Gail Carson Levine,1998,HarperTrophy,http://images.amazon.com/images/P/0064407055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0064407055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0064407055.01.LZZZZZZZ.jpg
0316096199,Lucky : A Memoir,Alice Sebold,2002,Back Bay Books,http://images.amazon.com/images/P/0316096199.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316096199.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316096199.01.LZZZZZZZ.jpg
0671864173,WAITING TO EXHALE,Terry McMillan,1993,Pocket,http://images.amazon.com/images/P/0671864173.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671864173.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671864173.01.LZZZZZZZ.jpg
0440200989,Weep No More My Lady,Mary Higgins Clark,1993,Dell,http://images.amazon.com/images/P/0440200989.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0440200989.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0440200989.01.LZZZZZZZ.jpg
